IDBox;SumViability;NbSeed;PropViability;SumSwell;PropSwell;SumRad;PropRad;SumCot;PropCot;IDPod;Plant;Zone;Zone0;UniqueQuadrat;PosQuadrat;Plan;UniqueGeno;Block;Plate;NbSeedminusNA;propViabilityNA;TotalNbPods;time_flo;Dormancy;NumSeedPlant
21;3;5;0.6;5;1;3;0.6;5;1;23;L1096b_Na156_H4 _3_12_C2;3;3;Z3Q12;C2;Intrapop;Narbonne_H4;1;1;5;0.6;10;9;0.6;41
22;2;4;0.5;4;1;4;1;2;0.5;24;L1096b_Na156_H4 _3_12_C2;3;3;Z3Q12;C2;Intrapop;Narbonne_H4;1;1;4;0.5;10;9;0.5;41
23;4;4;1;4;1;4;1;4;1;25;L1096b_Na156_H4 _3_12_C2;3;3;Z3Q12;C2;Intrapop;Narbonne_H4;1;1;4;1;10;9;0.5;41
24;2;5;0.4;5;1;5;1;5;1;26;L1096b_Na156_H4 _3_12_C2;3;3;Z3Q12;C2;Intrapop;Narbonne_H4;1;1;5;0.4;10;9;0.2;41
25;3;3;1;3;1;3;1;3;1;27;L1096b_Na156_H4 _3_12_C2;3;3;Z3Q12;C2;Intrapop;Narbonne_H4;1;1;3;1;10;9;0;41
26;0;3;0;3;1;3;1;3;1;30;L1105_Na21_H2 _3_12_C3;3;3;Z3Q12;C3;Intrapop;Narbonne_H2;1;1;3;0;8;5.5;0.666666666666667;44
27;2;4;0.5;4;1;3;0.75;3;0.75;31;L1105_Na21_H2 _3_12_C3;3;3;Z3Q12;C3;Intrapop;Narbonne_H2;1;1;4;0.5;8;5.5;0.5;44
28;2;3;0.666666666666667;3;1;3;1;3;1;31;L1105_Na21_H2 _3_12_C3;3;3;Z3Q12;C3;Intrapop;Narbonne_H2;1;1;3;0.666666666666667;8;5.5;0.666666666666667;44
29;4;5;0.8;5;1;5;1;5;1;32;L1105_Na21_H2 _3_12_C3;3;3;Z3Q12;C3;Intrapop;Narbonne_H2;1;1;5;0.8;8;5.5;0.4;44
30;5;6;0.833333333333333;6;1;6;1;5;0.833333333333333;33;L1105_Na21_H2 _3_12_C3;3;3;Z3Q12;C3;Intrapop;Narbonne_H2;1;1;6;0.833333333333333;8;5.5;0.5;44
31;6;6;1;6;1;6;1;5;0.833333333333333;34;L1105_Na21_H2 _3_12_C3;3;3;Z3Q12;C3;Intrapop;Narbonne_H2;1;1;6;1;8;5.5;0.333333333333333;44
32;4;6;0.666666666666667;6;1;6;1;5;0.833333333333333;35;L1105_Na21_H2 _3_12_C3;3;3;Z3Q12;C3;Intrapop;Narbonne_H2;1;1;6;0.666666666666667;8;5.5;0.333333333333333;44
33;3;6;0.5;6;1;4;0.666666666666667;6;1;36;L1105_Na21_H2 _3_12_C3;3;3;Z3Q12;C3;Intrapop;Narbonne_H2;1;1;6;0.5;8;5.5;0.666666666666667;44
34;3;5;0.6;5;1;4;0.8;5;1;37;L1105_Na21_H2 _3_12_C3;3;3;Z3Q12;C3;Intrapop;Narbonne_H2;1;1;5;0.6;8;5.5;0.8;44
35;4;6;0.666666666666667;6;1;5;0.833333333333333;5;0.833333333333333;38;426_A_H11.5 _3_12_C5;3;3;Z3Q12;C5;Intrapop;Narbonne_H11.5;1;1;6;0.666666666666667;13;0;0.333333333333333;69
36;3;3;1;3;1;3;1;3;1;39;426_A_H11.5 _3_12_C5;3;3;Z3Q12;C5;Intrapop;Narbonne_H11.5;1;1;3;1;13;0;0.333333333333333;69
37;3;4;0.75;4;1;3;0.75;4;1;40;426_A_H11.5 _3_12_C5;3;3;Z3Q12;C5;Intrapop;Narbonne_H11.5;1;1;4;0.75;13;0;0.5;69
38;1;3;0.333333333333333;3;1;3;1;3;1;40;426_A_H11.5 _3_12_C5;3;3;Z3Q12;C5;Intrapop;Narbonne_H11.5;1;1;3;0.333333333333333;13;0;0.666666666666667;69
39;6;6;1;6;1;6;1;6;1;41;426_A_H11.5 _3_12_C5;3;3;Z3Q12;C5;Intrapop;Narbonne_H11.5;1;1;6;1;13;0;0.833333333333333;69
40;3;5;0.6;5;1;5;1;5;1;42;426_A_H11.5 _3_12_C5;3;3;Z3Q12;C5;Intrapop;Narbonne_H11.5;1;1;5;0.6;13;0;0.8;69
41;4;5;0.8;5;1;5;1;5;1;43;426_A_H11.5 _3_12_C5;3;3;Z3Q12;C5;Intrapop;Narbonne_H11.5;1;1;5;0.8;13;0;0.8;69
42;4;5;0.8;5;1;5;1;4;0.8;44;426_A_H11.5 _3_12_C5;3;3;Z3Q12;C5;Intrapop;Narbonne_H11.5;1;1;5;0.8;13;0;0.4;69
43;3;4;0.75;4;1;4;1;3;0.75;45;426_A_H11.5 _3_12_C5;3;3;Z3Q12;C5;Intrapop;Narbonne_H11.5;1;1;4;0.75;13;0;0.5;69
44;3;6;0.5;6;1;6;1;4;0.666666666666667;46;426_A_H11.5 _3_12_C5;3;3;Z3Q12;C5;Intrapop;Narbonne_H11.5;1;1;6;0.5;13;0;0.166666666666667;69
45;3;4;0.75;4;1;4;1;4;1;47;426_A_H11.5 _3_12_C5;3;3;Z3Q12;C5;Intrapop;Narbonne_H11.5;1;1;4;0.75;13;0;0.25;69
46;3;3;1;3;1;3;1;3;1;47;426_A_H11.5 _3_12_C5;3;3;Z3Q12;C5;Intrapop;Narbonne_H11.5;1;1;3;1;13;0;0.333333333333333;69
47;3;3;1;3;1;3;1;3;1;48;426_A_H11.5 _3_12_C5;3;3;Z3Q12;C5;Intrapop;Narbonne_H11.5;1;1;3;1;13;0;0.333333333333333;69
48;5;6;0.833333333333333;6;1;6;1;5;0.833333333333333;49;426_A_H11.5 _3_12_C5;3;3;Z3Q12;C5;Intrapop;Narbonne_H11.5;1;1;6;0.833333333333333;13;0;0.166666666666667;69
49;4;6;0.666666666666667;6;1;6;1;6;1;50;426_A_H11.5 _3_12_C5;3;3;Z3Q12;C5;Intrapop;Narbonne_H11.5;1;1;6;0.666666666666667;13;0;0;69
50;3;3;1;3;1;3;1;3;1;51;L1110b_Na326_H5 _3_12_E6;3;3;Z3Q12;E6;Intrapop;Narbonne_H5;1;1;3;1;1;12;0;3
51;0;5;0;5;1;3;0.6;3;0.6;52;L1096b_Na156_H4 _3_12_F2;3;3;Z3Q12;F2;Intrapop;Narbonne_H4;1;1;5;0;12;15;0.6;23
52;1;5;0.2;5;1;5;1;1;0.2;53;L1096b_Na156_H4 _3_12_F2;3;3;Z3Q12;F2;Intrapop;Narbonne_H4;1;1;5;0.2;12;15;0.8;23
53;0;2;0;2;1;1;0.5;0;0;54;L1096b_Na156_H4 _3_12_F2;3;3;Z3Q12;F2;Intrapop;Narbonne_H4;1;1;2;0;12;15;1;23
54;2;5;0.4;5;1;4;0.8;2;0.4;55;L1096b_Na156_H4 _3_12_F2;3;3;Z3Q12;F2;Intrapop;Narbonne_H4;1;1;5;0.4;12;15;0.8;23
55;0;4;0;4;1;3;0.75;2;0.5;56;L1096b_Na156_H4 _3_12_F2;3;3;Z3Q12;F2;Intrapop;Narbonne_H4;1;1;4;0;12;15;1;23
56;0;2;0;2;1;2;1;0;0;57;L1096b_Na156_H4 _3_12_F2;3;3;Z3Q12;F2;Intrapop;Narbonne_H4;1;1;2;0;12;15;1;23
57;2;4;0.5;4;1;4;1;4;1;59;L1125_Na657_H8 _3_12_F3;3;3;Z3Q12;F3;Intrapop;Narbonne_H8;1;1;4;0.5;12;15;0;49
58;0;3;0;3;1;3;1;1;0.333333333333333;59;L1125_Na657_H8 _3_12_F3;3;3;Z3Q12;F3;Intrapop;Narbonne_H8;1;1;3;0;12;15;0;49
59;5;6;0.833333333333333;6;1;6;1;6;1;60;L1125_Na657_H8 _3_12_F3;3;3;Z3Q12;F3;Intrapop;Narbonne_H8;1;1;6;0.833333333333333;12;15;0.833333333333333;49
60;1;4;0.25;4;1;3;0.75;4;1;61;L1125_Na657_H8 _3_12_F3;3;3;Z3Q12;F3;Intrapop;Narbonne_H8;1;1;4;0.25;12;15;0.25;49
61;2;3;0.666666666666667;3;1;3;1;3;1;61;L1125_Na657_H8 _3_12_F3;3;3;Z3Q12;F3;Intrapop;Narbonne_H8;1;2;3;0.666666666666667;12;15;0;49
62;4;4;1;4;1;4;1;4;1;62;L1125_Na657_H8 _3_12_F3;3;3;Z3Q12;F3;Intrapop;Narbonne_H8;1;2;4;1;12;15;0;49
63;2;4;0.5;4;1;4;1;4;1;62;L1125_Na657_H8 _3_12_F3;3;3;Z3Q12;F3;Intrapop;Narbonne_H8;1;2;4;0.5;12;15;0.5;49
64;4;5;0.8;5;1;5;1;5;1;63;L1125_Na657_H8 _3_12_F3;3;3;Z3Q12;F3;Intrapop;Narbonne_H8;1;2;5;0.8;12;15;0.6;49
65;4;4;1;4;1;4;1;4;1;64;L1125_Na657_H8 _3_12_F3;3;3;Z3Q12;F3;Intrapop;Narbonne_H8;1;2;4;1;12;15;0.75;49
66;2;3;0.666666666666667;3;1;3;1;3;1;64;L1125_Na657_H8 _3_12_F3;3;3;Z3Q12;F3;Intrapop;Narbonne_H8;1;2;3;0.666666666666667;12;15;0;49
67;2;4;0.5;4;1;4;1;4;1;65;L1125_Na657_H8 _3_12_F3;3;3;Z3Q12;F3;Intrapop;Narbonne_H8;1;2;4;0.5;12;15;0.5;49
68;2;3;0.666666666666667;3;1;3;1;3;1;66;L1125_Na657_H8 _3_12_F3;3;3;Z3Q12;F3;Intrapop;Narbonne_H8;1;2;3;0.666666666666667;12;15;0;49
69;2;2;1;2;1;2;1;2;1;68;L1125_Na657_H8 _3_12_F3;3;3;Z3Q12;F3;Intrapop;Narbonne_H8;1;2;2;1;12;15;0;49
70;6;6;1;6;1;6;1;5;0.833333333333333;69;L1123_Na632_H8 _8_4_A5;8;8;Z8Q4;A5;Intrapop;Narbonne_H8;1;2;6;1;1;15;0.5;6
71;5;5;1;5;1;5;1;5;1;70;L1090_Na136_H1 _8_4_B1;8;8;Z8Q4;B1;Intrapop;Narbonne_H1;1;2;5;1;2;9;0.2;10
72;3;5;0.6;5;1;4;0.8;5;1;71;L1090_Na136_H1 _8_4_B1;8;8;Z8Q4;B1;Intrapop;Narbonne_H1;1;2;5;0.6;2;9;0.4;10
73;4;4;1;4;1;4;1;4;1;72;L1109_Na314_H5 _8_4_B2;8;8;Z8Q4;B2;Intrapop;Narbonne_H5;1;2;4;1;2;5.5;0.5;13
74;2;3;0.666666666666667;3;1;3;1;2;0.666666666666667;72;L1109_Na314_H5 _8_4_B2;8;8;Z8Q4;B2;Intrapop;Narbonne_H5;1;2;3;0.666666666666667;2;5.5;0;13
75;6;6;1;6;1;6;1;6;1;73;L1109_Na314_H5 _8_4_B2;8;8;Z8Q4;B2;Intrapop;Narbonne_H5;1;2;6;1;2;5.5;0.333333333333333;13
76;3;4;0.75;4;1;4;1;4;1;74;L1109_Na314_H5 _8_4_B5;8;8;Z8Q4;B5;Intrapop;Narbonne_H5;1;2;4;0.75;4;5.5;0.75;19
77;4;5;0.8;5;1;5;1;5;1;75;L1109_Na314_H5 _8_4_B5;8;8;Z8Q4;B5;Intrapop;Narbonne_H5;1;2;5;0.8;4;5.5;0.6;19
78;4;6;0.666666666666667;6;1;6;1;5;0.833333333333333;76;L1109_Na314_H5 _8_4_B5;8;8;Z8Q4;B5;Intrapop;Narbonne_H5;1;2;6;0.666666666666667;4;5.5;0.5;19
79;4;4;1;4;1;4;1;4;1;77;L1109_Na314_H5 _8_4_B5;8;8;Z8Q4;B5;Intrapop;Narbonne_H5;1;2;4;1;4;5.5;0;19
80;4;5;0.8;5;1;5;1;4;0.8;78;L1110b_Na326_H5 _8_4_C3;8;8;Z8Q4;C3;Intrapop;Narbonne_H5;1;2;5;0.8;2;12;0;8
81;3;3;1;3;1;3;1;3;1;79;L1110b_Na326_H5 _8_4_C3;8;8;Z8Q4;C3;Intrapop;Narbonne_H5;1;2;3;1;2;12;0;8
82;3;5;0.6;5;1;5;1;5;1;80;L1107_Na234_H2 _8_4_C4;8;8;Z8Q4;C4;Intrapop;Narbonne_H2;1;2;5;0.6;2;9;0.4;10
83;3;5;0.6;5;1;5;1;4;0.8;81;L1107_Na234_H2 _8_4_C4;8;8;Z8Q4;C4;Intrapop;Narbonne_H2;1;2;5;0.6;2;9;0.2;10
84;3;4;0.75;4;1;4;1;4;1;82;L1110b_Na326_H5 _8_4_D5;8;8;Z8Q4;D5;Intrapop;Narbonne_H5;1;2;4;0.75;2;5.5;0.25;12
85;3;3;1;3;1;3;1;3;1;82;L1110b_Na326_H5 _8_4_D5;8;8;Z8Q4;D5;Intrapop;Narbonne_H5;1;2;3;1;2;5.5;0.666666666666667;12
86;5;5;1;5;1;5;1;4;0.8;83;L1110b_Na326_H5 _8_4_D5;8;8;Z8Q4;D5;Intrapop;Narbonne_H5;1;2;5;1;2;5.5;0.6;12
87;2;4;0.5;4;1;4;1;4;1;84;L1125_Na657_H8 _8_4_E1;8;8;Z8Q4;E1;Intrapop;Narbonne_H8;1;2;4;0.5;1;15;0.25;4
88;3;4;0.75;4;1;4;1;4;1;85;L1113_Na424 _8_4_E4;8;8;Z8Q4;E4;Intrapop;Narbonne_H6;1;2;4;0.75;2;5.5;0.25;10
89;6;6;1;6;1;6;1;6;1;86;L1113_Na424 _8_4_E4;8;8;Z8Q4;E4;Intrapop;Narbonne_H6;1;2;6;1;2;5.5;0.5;10
90;3;3;1;3;1;3;1;3;1;87;L1109_Na314_H5 _8_7_A3;8;8;Z8Q7;A3;Intrapop;Narbonne_H5;1;2;3;1;1;15;0.666666666666667;3
91;3;3;1;3;1;3;1;3;1;90;L1086_Na121_H4 _8_7_B3;8;8;Z8Q7;B3;Intrapop;Narbonne_H4;1;2;3;1;1;12;0;3
92;4;5;0.8;5;1;4;0.8;5;1;91;426_A_H11.5 _8_7_B4;8;8;Z8Q7;B4;Intrapop;Narbonne_H11.5;1;2;5;0.8;1;9;0.4;5
93;1;1;1;1;1;1;1;1;1;92;L1113_Na424 _8_7_C1;8;8;Z8Q7;C1;Intrapop;Narbonne_H6;1;2;1;1;1;22.5;0;1
94;5;5;1;5;1;5;1;5;1;93;L1107_Na234_H2 _8_7_C6;8;8;Z8Q7;C6;Intrapop;Narbonne_H2;1;2;5;1;2;2;0;7
95;1;2;0.5;2;1;2;1;2;1;94;L1107_Na234_H2 _8_7_C6;8;8;Z8Q7;C6;Intrapop;Narbonne_H2;1;2;2;0.5;2;2;0;7
96;2;3;0.666666666666667;3;1;3;1;3;1;95;L1123_Na632_H8 _8_7_D2;8;8;Z8Q7;D2;Intrapop;Narbonne_H8;1;2;3;0.666666666666667;1;15;0.333333333333333;3
97;1;2;0.5;2;1;2;1;2;1;96;269_B_H96 _8_7_D3;8;8;Z8Q7;D3;Intrapop;Narbonne_H96;1;2;2;0.5;1;0;0;2
98;6;6;1;6;1;6;1;6;1;97;L1105_Na21_H2 _8_7_E1;8;8;Z8Q7;E1;Intrapop;Narbonne_H2;1;2;6;1;1;2;0.5;6
99;3;3;1;3;1;3;1;3;1;98;L1130_Na1028_H1 _8_7_E4;8;8;Z8Q7;E4;Intrapop;Narbonne_H1;1;2;3;1;1;18.5;0;3
100;4;5;0.8;5;1;4;0.8;4;0.8;99;L1119_Na545_H50 _8_7_F3;8;8;Z8Q7;F3;Intrapop;Narbonne_H50;1;2;5;0.8;1;15;0.2;5
101;1;6;0.166666666666667;6;1;6;1;6;1;100;L1090_Na136_H1 _8_7_F6;8;8;Z8Q7;F6;Intrapop;Narbonne_H1;1;2;6;0.166666666666667;1;9;0.5;6
102;0;3;0;3;1;3;1;2;0.666666666666667;101;L1119_Na545_H50 _12_7_A2;12;12;Z12Q7;A2;Intrapop;Narbonne_H50;1;2;3;0;1;18.5;0;3
103;2;3;0.666666666666667;3;1;3;1;3;1;102;L1105_Na21_H2 _12_7_C3;12;12;Z12Q7;C3;Intrapop;Narbonne_H2;1;2;3;0.666666666666667;2;9;0;3
104;4;4;1;4;1;4;1;4;1;103;L1105_Na21_H2 _12_7_D2;12;12;Z12Q7;D2;Intrapop;Narbonne_H2;1;2;4;1;2;18.5;1;7
105;2;3;0.666666666666667;3;1;3;1;3;1;103;L1105_Na21_H2 _12_7_D2;12;12;Z12Q7;D2;Intrapop;Narbonne_H2;1;2;3;0.666666666666667;2;18.5;1;7
106;1;1;1;1;1;1;1;1;1;104;L1110b_Na326_H5 _12_7_D6;12;12;Z12Q7;D6;Intrapop;Narbonne_H5;1;2;1;1;3;22.5;1;1
107;2;2;1;2;1;2;1;2;1;106;L1130_Na1028_H1 _12_7_E2;12;12;Z12Q7;E2;Intrapop;Narbonne_H1;1;2;2;1;4;15;0;4
108;1;2;0.5;2;1;2;1;2;1;107;L1130_Na1028_H1 _12_7_E2;12;12;Z12Q7;E2;Intrapop;Narbonne_H1;1;2;2;0.5;4;15;0.5;4
109;1;1;1;1;1;1;1;1;1;108;426_A_H11.5 _12_7_F2;12;12;Z12Q7;F2;Intrapop;Narbonne_H11.5;1;2;1;1;2;5.5;0;1
110;4;5;0.8;5;1;5;1;5;1;110;L1107_Na234_H2 _12_7_F4;12;12;Z12Q7;F4;Intrapop;Narbonne_H2;1;2;5;0.8;1;9;0;5
111;3;4;0.75;4;1;4;1;4;1;111;L1090_Na136_H1 _12_10_A1;12;12;Z12Q10;A1;Intrapop;Narbonne_H1;1;2;4;0.75;3;9;0;10
112;2;3;0.666666666666667;3;1;3;1;3;1;111;L1090_Na136_H1 _12_10_A1;12;12;Z12Q10;A1;Intrapop;Narbonne_H1;1;2;3;0.666666666666667;3;9;0.666666666666667;10
113;1;3;0.333333333333333;3;1;3;1;3;1;112;L1090_Na136_H1 _12_10_A1;12;12;Z12Q10;A1;Intrapop;Narbonne_H1;1;2;3;0.333333333333333;3;9;0.333333333333333;10
114;0;3;0;3;1;3;1;1;0.333333333333333;113;L1110b_Na326_H5 _12_10_A3;12;12;Z12Q10;A3;Intrapop;Narbonne_H5;1;2;3;0;1;12;0.333333333333333;3
115;2;2;1;2;1;2;1;2;1;115;L1109_Na314_H5 _12_10_B2;12;12;Z12Q10;B2;Intrapop;Narbonne_H5;1;2;2;1;1;15;1;2
116;4;4;1;4;1;4;1;4;1;116;L1109_Na314_H5 _12_10_B3;12;12;Z12Q10;B3;Intrapop;Narbonne_H5;1;2;4;1;2;15;0;4
117;2;4;0.5;4;1;3;0.75;3;0.75;118;L1130_Na1028_H1 _12_10_C1;12;12;Z12Q10;C1;Intrapop;Narbonne_H1;1;2;4;0.5;3;15;1;8
118;3;4;0.75;4;1;4;1;3;0.75;119;L1130_Na1028_H1 _12_10_C1;12;12;Z12Q10;C1;Intrapop;Narbonne_H1;1;2;4;0.75;3;15;0;8
119;3;6;0.5;6;1;6;1;6;1;120;426_A_H11.5 _12_10_C2;12;12;Z12Q10;C2;Intrapop;Narbonne_H11.5;1;2;6;0.5;1;9;0.166666666666667;6
120;2;5;0.4;5;1;5;1;4;0.8;121;L1130_Na1028_H1 _12_10_C5;12;12;Z12Q10;C5;Intrapop;Narbonne_H1;1;2;5;0.4;1;15;0;5
121;3;4;0.75;4;1;4;1;4;1;122;L1125_Na657_H8 _12_10_D2;12;12;Z12Q10;D2;Intrapop;Narbonne_H8;1;3;4;0.75;1;22.5;0.75;4
122;5;5;1;5;1;5;1;5;1;123;L1105_Na21_H2 _12_10_D5;12;12;Z12Q10;D5;Intrapop;Narbonne_H2;1;3;5;1;1;15;0.2;5
123;2;3;0.666666666666667;3;1;3;1;2;0.666666666666667;124;L1110b_Na326_H5 _12_10_E4;12;12;Z12Q10;E4;Intrapop;Narbonne_H5;1;3;3;0.666666666666667;1;18.5;0.666666666666667;3
124;2;2;1;2;1;2;1;2;1;125;L1123_Na632_H8 _12_10_E5;12;12;Z12Q10;E5;Intrapop;Narbonne_H8;1;3;2;1;2;30.5;0;4
125;0;2;0;2;1;2;1;2;1;126;L1123_Na632_H8 _12_10_E5;12;12;Z12Q10;E5;Intrapop;Narbonne_H8;1;3;2;0;2;30.5;1;4
126;3;3;1;3;1;3;1;3;1;127;L1107_Na234_H2 _12_10_F6;12;12;Z12Q10;F6;Intrapop;Narbonne_H2;1;3;3;1;1;22.5;0.333333333333333;3
127;4;4;1;4;1;4;1;4;1;128;F89-13-42-b2_H4_2013_B_A5;NA;1;B;A5;interpop;Corse_H4;1;3;4;1;9;18;0;45
128;2;3;0.666666666666667;3;1;3;1;3;1;128;F89-13-42-b2_H4_2013_B_A5;NA;1;B;A5;interpop;Corse_H4;1;3;3;0.666666666666667;9;18;0.333333333333333;45
129;4;4;1;4;1;4;1;4;1;129;F89-13-42-b2_H4_2013_B_A5;NA;1;B;A5;interpop;Corse_H4;1;3;4;1;9;18;0;45
130;4;4;1;4;1;4;1;4;1;130;F89-13-42-b2_H4_2013_B_A5;NA;1;B;A5;interpop;Corse_H4;1;3;4;1;9;18;0;45
131;1;3;0.333333333333333;3;1;2;0.666666666666667;2;0.666666666666667;130;F89-13-42-b2_H4_2013_B_A5;NA;1;B;A5;interpop;Corse_H4;1;3;3;0.333333333333333;9;18;0;45
132;1;4;0.25;4;1;4;1;4;1;131;F89-13-42-b2_H4_2013_B_A5;NA;1;B;A5;interpop;Corse_H4;1;3;4;0.25;9;18;0.25;45
133;2;3;0.666666666666667;3;1;3;1;3;1;131;F89-13-42-b2_H4_2013_B_A5;NA;1;B;A5;interpop;Corse_H4;1;3;3;0.666666666666667;9;18;0;45
134;5;6;0.833333333333333;6;1;6;1;5;0.833333333333333;132;F89-13-42-b2_H4_2013_B_A5;NA;1;B;A5;interpop;Corse_H4;1;3;6;0.833333333333333;9;18;0.166666666666667;45
135;2;3;0.666666666666667;3;1;3;1;2;0.666666666666667;133;F89-13-42-b2_H4_2013_B_A5;NA;1;B;A5;interpop;Corse_H4;1;3;3;0.666666666666667;9;18;0.666666666666667;45
136;3;3;1;3;1;3;1;3;1;133;F89-13-42-b2_H4_2013_B_A5;NA;1;B;A5;interpop;Corse_H4;1;3;3;1;9;18;0;45
137;3;4;0.75;4;1;4;1;4;1;134;F89-13-42-b2_H4_2013_B_A5;NA;1;B;A5;interpop;Corse_H4;1;3;4;0.75;9;18;0;45
138;3;3;1;3;1;3;1;3;1;134;F89-13-42-b2_H4_2013_B_A5;NA;1;B;A5;interpop;Corse_H4;1;3;3;1;9;18;0.333333333333333;45
139;4;5;0.8;5;1;5;1;5;1;135;F89-13-156-p2_H5_B_AA1;NA;1;B;AA1;interpop;Corse_H5;1;3;5;0.8;3;14.5;0.2;10
140;3;5;0.6;5;1;5;1;3;0.6;136;F89-13-156-p2_H5_B_AA1;NA;1;B;AA1;interpop;Corse_H5;1;3;5;0.6;3;14.5;0;10
141;4;4;1;4;1;4;1;4;1;137;L1110b_Na326_H5_B_B2;NA;1;B;B2;interpop;Narbonne_H5;1;3;4;1;13;21.5;0;54
142;3;3;1;3;1;3;1;3;1;137;L1110b_Na326_H5_B_B2;NA;1;B;B2;interpop;Narbonne_H5;1;3;3;1;13;21.5;0.333333333333333;54
143;6;6;1;6;1;6;1;6;1;138;L1110b_Na326_H5_B_B2;NA;1;B;B2;interpop;Narbonne_H5;1;3;6;1;13;21.5;0;54
144;6;6;1;6;1;6;1;6;1;139;L1110b_Na326_H5_B_B2;NA;1;B;B2;interpop;Narbonne_H5;1;3;6;1;13;21.5;0;54
145;5;5;1;5;1;5;1;5;1;140;L1110b_Na326_H5_B_B2;NA;1;B;B2;interpop;Narbonne_H5;1;3;5;1;13;21.5;0.2;54
146;6;6;1;6;1;6;1;6;1;141;L1110b_Na326_H5_B_B2;NA;1;B;B2;interpop;Narbonne_H5;1;3;6;1;13;21.5;0;54
