IDBox;SumViability;NbSeed;PropViability;SumSwell;PropSwell;SumRad;PropRad;SumCot;PropCot;IDPod;Plant;Zone;Zone0;UniqueQuadrat;PosQuadrat;Plan;UniqueGeno;Block;Plate
40;3;5;0.6;5;1;5;1;5;1;42;426_A_H11.5 _3_12_C5;3;3;Z3Q12;C5;Intrapop;Narbonne_H11.5;1;1
41;4;5;0.8;5;1;5;1;5;1;43;426_A_H11.5 _3_12_C5;3;3;Z3Q12;C5;Intrapop;Narbonne_H11.5;1;1
42;4;5;0.8;5;1;5;1;4;0.8;44;426_A_H11.5 _3_12_C5;3;3;Z3Q12;C5;Intrapop;Narbonne_H11.5;1;1
43;3;4;0.75;4;1;4;1;3;0.75;45;426_A_H11.5 _3_12_C5;3;3;Z3Q12;C5;Intrapop;Narbonne_H11.5;1;1
44;3;6;0.5;6;1;6;1;4;0.666666666666667;46;426_A_H11.5 _3_12_C5;3;3;Z3Q12;C5;Intrapop;Narbonne_H11.5;1;1
45;3;4;0.75;4;1;4;1;4;1;47;426_A_H11.5 _3_12_C5;3;3;Z3Q12;C5;Intrapop;Narbonne_H11.5;1;1
46;3;3;1;3;1;3;1;3;1;47;426_A_H11.5 _3_12_C5;3;3;Z3Q12;C5;Intrapop;Narbonne_H11.5;1;1
47;3;3;1;3;1;3;1;3;1;48;426_A_H11.5 _3_12_C5;3;3;Z3Q12;C5;Intrapop;Narbonne_H11.5;1;1
48;5;6;0.833333333333333;6;1;6;1;5;0.833333333333333;49;426_A_H11.5 _3_12_C5;3;3;Z3Q12;C5;Intrapop;Narbonne_H11.5;1;1
49;4;6;0.666666666666667;6;1;6;1;6;1;50;426_A_H11.5 _3_12_C5;3;3;Z3Q12;C5;Intrapop;Narbonne_H11.5;1;1
50;3;3;1;3;1;3;1;3;1;51;L1110b_Na326_H5 _3_12_E6;3;3;Z3Q12;E6;Intrapop;Narbonne_H5;1;1
51;0;5;0;5;1;3;0.6;3;0.6;52;L1096b_Na156_H4 _3_12_F2;3;3;Z3Q12;F2;Intrapop;Narbonne_H4;1;1
52;1;5;0.2;5;1;5;1;1;0.2;53;L1096b_Na156_H4 _3_12_F2;3;3;Z3Q12;F2;Intrapop;Narbonne_H4;1;1
