IDBox;SumViability;NbSeed;PropViability;SumSwell;PropSwell;SumRad;PropRad;SumCot;PropCot;IDPod;Plant;Zone;Zone0;UniqueQuadrat;PosQuadrat;Plan;UniqueGeno;Block;Plate
178;1;3;0.333333333333333;3;1;2;0.666666666666667;3;1;164;L1109_Na314_H5_B_C4;NA;1;B;C4;interpop;Narbonne_H5;1;3
179;3;4;0.75;4;1;4;1;4;1;165;L1109_Na314_H5_B_C4;NA;1;B;C4;interpop;Narbonne_H5;1;3
180;2;3;0.666666666666667;3;1;3;1;3;1;165;L1109_Na314_H5_B_C4;NA;1;B;C4;interpop;Narbonne_H5;1;3
181;2;4;0.5;4;1;3;0.75;2;0.5;166;L1109_Na314_H5_B_C4;NA;1;B;C4;interpop;Narbonne_H5;1;4
182;4;5;0.8;5;1;5;1;5;1;167;L1109_Na314_H5_B_C4;NA;1;B;C4;interpop;Narbonne_H5;1;4
183;3;4;0.75;4;1;4;1;1;0.25;168;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
184;3;3;1;3;1;3;1;3;1;168;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
185;5;6;0.833333333333333;6;1;6;1;5;0.833333333333333;169;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
186;4;4;1;4;1;4;1;4;1;170;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
187;2;3;0.666666666666667;3;1;3;1;3;1;170;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
188;4;6;0.666666666666667;6;1;6;1;6;1;171;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
189;4;4;1;4;1;4;1;4;1;172;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
190;3;4;0.75;4;1;4;1;4;1;172;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
191;3;4;0.75;4;1;4;1;4;1;173;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
192;4;4;1;4;1;4;1;4;1;173;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
193;3;6;0.5;6;1;6;1;4;0.666666666666667;174;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
194;2;4;0.5;4;1;4;1;4;1;175;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
195;2;4;0.5;4;1;4;1;4;1;175;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
196;3;4;0.75;4;1;4;1;4;1;176;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
197;3;4;0.75;4;1;4;1;4;1;176;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
198;3;6;0.5;6;1;6;1;5;0.833333333333333;177;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
199;4;4;1;4;1;4;1;4;1;178;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
200;3;3;1;3;1;3;1;3;1;178;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
201;4;4;1;4;1;4;1;4;1;179;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
202;3;4;0.75;4;1;4;1;3;0.75;179;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
203;3;4;0.75;4;1;3;0.75;4;1;180;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
204;3;3;1;3;1;3;1;3;1;180;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
205;3;4;0.75;4;1;4;1;4;1;181;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
206;4;4;1;4;1;4;1;4;1;181;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
207;6;6;1;6;1;6;1;6;1;182;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
208;2;4;0.5;4;1;4;1;4;1;183;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
209;3;3;1;3;1;3;1;3;1;183;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
210;3;4;0.75;4;1;4;1;4;1;184;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
211;2;3;0.666666666666667;3;1;3;1;3;1;184;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
212;2;4;0.5;4;1;3;0.75;3;0.75;185;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
213;3;4;0.75;4;1;4;1;4;1;185;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
214;3;5;0.6;5;1;3;0.6;5;1;186;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
215;0;4;0;4;1;3;0.75;3;0.75;187;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
216;1;3;0.333333333333333;3;1;2;0.666666666666667;2;0.666666666666667;187;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
217;1;4;0.25;4;1;4;1;3;0.75;188;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
218;2;4;0.5;4;1;3;0.75;3;0.75;188;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
219;2;4;0.5;4;1;4;1;4;1;189;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
220;0;3;0;3;1;3;1;3;1;189;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
221;0;6;0;6;1;6;1;5;0.833333333333333;190;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
222;4;4;1;4;1;4;1;4;1;191;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
223;4;4;1;4;1;4;1;4;1;191;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
224;3;6;0.5;6;1;6;1;5;0.833333333333333;192;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
225;5;5;1;5;1;5;1;5;1;193;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
226;2;4;0.5;4;1;4;1;3;0.75;194;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
227;4;4;1;4;1;4;1;4;1;194;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
228;2;4;0.5;4;1;4;1;4;1;195;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
229;1;3;0.333333333333333;3;1;3;1;3;1;195;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
230;0;1;0;1;1;1;1;1;1;196;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
231;0;4;0;4;1;4;1;4;1;197;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
232;1;3;0.333333333333333;3;1;2;0.666666666666667;3;1;197;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
233;3;5;0.6;5;1;4;0.8;4;0.8;198;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
234;4;5;0.8;5;1;5;1;5;1;199;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
235;1;5;0.2;5;1;5;1;5;1;200;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4
236;1;4;0.25;4;1;4;1;4;1;201;F89-13-155-p2_H1_B_CC1;NA;1;B;CC1;interpop;Corse_H1;1;4
237;4;4;1;4;1;4;1;4;1;201;F89-13-155-p2_H1_B_CC1;NA;1;B;CC1;interpop;Corse_H1;1;4
238;1;3;0.333333333333333;3;1;3;1;3;1;203;F89-13-155-p2_H1_B_CC1;NA;1;B;CC1;interpop;Corse_H1;1;4
239;2;4;0.5;4;1;3;0.75;4;1;204;L1107_Na234_H2_B_CC3;NA;1;B;CC3;interpop;Narbonne_H2;1;4
240;3;3;1;3;1;3;1;3;1;204;L1107_Na234_H2_B_CC3;NA;1;B;CC3;interpop;Narbonne_H2;1;4
241;3;4;0.75;4;1;4;1;4;1;205;L1107_Na234_H2_B_CC3;NA;1;B;CC3;interpop;Narbonne_H2;1;5
242;2;3;0.666666666666667;3;1;3;1;3;1;205;L1107_Na234_H2_B_CC3;NA;1;B;CC3;interpop;Narbonne_H2;1;5
243;3;4;0.75;4;1;4;1;3;0.75;206;L1107_Na234_H2_B_CC3;NA;1;B;CC3;interpop;Narbonne_H2;1;5
244;3;3;1;3;1;3;1;3;1;206;L1107_Na234_H2_B_CC3;NA;1;B;CC3;interpop;Narbonne_H2;1;5
245;6;6;1;6;1;6;1;6;1;207;L1107_Na234_H2_B_CC3;NA;1;B;CC3;interpop;Narbonne_H2;1;5
246;5;5;1;5;1;5;1;5;1;208;L1107_Na234_H2_B_CC3;NA;1;B;CC3;interpop;Narbonne_H2;1;5
247;3;4;0.75;4;1;3;0.75;3;0.75;209;L1107_Na234_H2_B_CC3;NA;1;B;CC3;interpop;Narbonne_H2;1;5
248;4;5;0.8;5;1;5;1;4;0.8;210;L1107_Na234_H2_B_CC3;NA;1;B;CC3;interpop;Narbonne_H2;1;5
249;3;5;0.6;5;1;5;1;4;0.8;211;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
250;5;6;0.833333333333333;6;1;6;1;6;1;212;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
251;4;4;1;4;1;4;1;4;1;213;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
252;2;3;0.666666666666667;3;1;3;1;3;1;213;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
253;4;4;1;4;1;4;1;4;1;214;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
254;3;3;1;3;1;3;1;3;1;214;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
255;2;4;0.5;4;1;4;1;4;1;215;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
256;3;3;1;3;1;3;1;3;1;215;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
257;4;5;0.8;5;1;5;1;5;1;216;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
258;4;4;1;4;1;4;1;4;1;217;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
259;2;4;0.5;3;0.75;3;0.75;3;0.75;218;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
260;2;3;0.666666666666667;3;1;2;0.666666666666667;2;0.666666666666667;218;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
261;4;4;1;4;1;4;1;4;1;219;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
262;2;3;0.666666666666667;3;1;3;1;3;1;219;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
263;4;4;1;4;1;4;1;4;1;220;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
264;2;3;0.666666666666667;3;1;3;1;2;0.666666666666667;220;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
265;4;5;0.8;5;1;5;1;5;1;221;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
266;1;3;0.333333333333333;3;1;3;1;3;1;222;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
267;3;4;0.75;4;1;4;1;3;0.75;223;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
268;3;3;1;3;1;3;1;3;1;223;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
269;3;4;0.75;4;1;4;1;4;1;224;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
270;2;4;0.5;4;1;4;1;4;1;224;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
271;4;4;1;4;1;4;1;4;1;225;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
272;4;4;1;4;1;4;1;4;1;225;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
273;4;6;0.666666666666667;6;1;5;0.833333333333333;5;0.833333333333333;226;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
274;5;5;1;5;1;5;1;5;1;227;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
275;4;4;1;4;1;4;1;4;1;227;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
276;4;5;0.8;5;1;5;1;5;1;228;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
277;5;6;0.833333333333333;6;1;6;1;5;0.833333333333333;229;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
278;3;4;0.75;4;1;4;1;4;1;230;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
279;3;4;0.75;4;1;4;1;4;1;231;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
280;1;1;1;1;1;1;1;1;1;232;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
281;6;6;1;6;1;6;1;6;1;233;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
282;4;4;1;4;1;4;1;4;1;234;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
283;0;2;0;2;1;0;0;0;0;235;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
284;4;4;1;4;1;4;1;4;1;236;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
285;3;3;1;3;1;3;1;2;0.666666666666667;236;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
286;5;5;1;5;1;5;1;5;1;237;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
287;2;4;0.5;4;1;4;1;4;1;238;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
288;4;4;1;4;1;4;1;4;1;239;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
289;5;6;0.833333333333333;6;1;6;1;6;1;240;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
290;4;4;1;4;1;4;1;4;1;241;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
291;1;3;0.333333333333333;3;1;3;1;3;1;241;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
292;2;4;0.5;4;1;4;1;3;0.75;242;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
293;3;4;0.75;4;1;4;1;4;1;242;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
294;4;5;0.8;5;1;4;0.8;4;0.8;243;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
295;2;4;0.5;4;1;4;1;4;1;244;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
296;0;3;0;3;1;3;1;3;1;244;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
297;3;4;0.75;4;1;4;1;4;1;245;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
298;5;6;0.833333333333333;6;1;6;1;6;1;246;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
299;2;4;0.5;4;1;4;1;4;1;247;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
300;2;2;1;2;1;2;1;2;1;248;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5
301;4;4;1;4;1;4;1;4;1;250;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;6
302;3;4;0.75;4;1;4;1;4;1;250;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;6
303;4;6;0.666666666666667;6;1;5;0.833333333333333;5;0.833333333333333;251;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;6
304;1;3;0.333333333333333;3;1;1;0.333333333333333;1;0.333333333333333;252;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;6
305;3;4;0.75;4;1;4;1;3;0.75;253;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;6
306;2;2;1;2;1;2;1;2;1;254;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;6
307;5;5;1;5;1;5;1;5;1;255;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;6
308;0;1;0;1;1;1;1;0;0;256;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;6
309;3;5;0.6;5;1;5;1;5;1;257;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;6
310;6;6;1;6;1;6;1;6;1;258;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;6
311;4;4;1;4;1;4;1;4;1;259;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;6
312;3;4;0.75;4;1;4;1;4;1;260;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;6
313;3;3;1;3;1;3;1;3;1;260;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;6
314;0;6;0;6;1;1;0.166666666666667;0;0;261;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;6
315;5;6;0.833333333333333;6;1;6;1;6;1;262;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;6
316;4;4;1;4;1;4;1;4;1;263;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;6
317;3;4;0.75;4;1;4;1;4;1;263;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;6
318;0;3;0;3;1;0;0;0;0;264;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;6
319;4;4;1;4;1;4;1;4;1;265;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;6
320;2;3;0.666666666666667;3;1;3;1;3;1;265;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;6
321;3;3;1;3;1;3;1;3;1;266;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;6
322;2;4;0.5;4;1;4;1;4;1;267;F89-13-46-b2_H4_2013_B_D3;NA;1;B;D3;interpop;Corse_H4;1;6
323;4;4;1;4;1;4;1;4;1;267;F89-13-46-b2_H4_2013_B_D3;NA;1;B;D3;interpop;Corse_H4;1;6
324;4;4;1;4;1;4;1;4;1;268;F89-13-46-b2_H4_2013_B_D3;NA;1;B;D3;interpop;Corse_H4;1;6
325;3;4;0.75;4;1;3;0.75;3;0.75;268;F89-13-46-b2_H4_2013_B_D3;NA;1;B;D3;interpop;Corse_H4;1;6
326;3;4;0.75;4;1;4;1;4;1;269;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
327;3;3;1;3;1;3;1;3;1;269;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
328;4;4;1;4;1;4;1;4;1;270;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
329;3;3;1;3;1;3;1;3;1;270;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
330;3;4;0.75;4;1;4;1;4;1;271;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
331;3;3;1;3;1;3;1;3;1;271;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
332;2;4;0.5;4;1;4;1;4;1;272;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
333;3;3;1;3;1;3;1;3;1;272;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
334;6;6;1;6;1;6;1;6;1;273;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
335;5;5;1;5;1;5;1;5;1;274;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
336;4;6;0.666666666666667;6;1;5;0.833333333333333;6;1;275;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
337;3;4;0.75;4;1;4;1;4;1;276;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
338;2;3;0.666666666666667;3;1;3;1;3;1;276;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
339;5;6;0.833333333333333;6;1;6;1;6;1;277;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
340;4;5;0.8;5;1;5;1;5;1;278;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
341;6;6;1;6;1;6;1;6;1;279;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
342;2;4;0.5;4;1;4;1;4;1;280;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
343;3;3;1;3;1;3;1;3;1;280;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
344;6;6;1;6;1;6;1;6;1;281;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
345;5;6;0.833333333333333;6;1;6;1;6;1;282;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
346;6;6;1;6;1;6;1;6;1;283;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
347;3;4;0.75;4;1;4;1;4;1;284;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
348;3;4;0.75;4;1;4;1;4;1;284;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
349;1;5;0.2;5;1;5;1;5;1;285;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
350;2;4;0.5;4;1;3;0.75;3;0.75;286;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
351;3;4;0.75;4;1;4;1;4;1;286;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
352;2;5;0.4;5;1;5;1;5;1;287;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
353;2;6;0.333333333333333;6;1;6;1;5;0.833333333333333;288;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
354;3;6;0.5;6;1;6;1;4;0.666666666666667;289;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
355;4;4;1;4;1;4;1;4;1;290;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
356;0;6;0;6;1;6;1;6;1;291;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
357;0;5;0;5;1;2;0.4;2;0.4;292;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
358;3;5;0.6;5;1;5;1;4;0.8;293;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
359;4;6;0.666666666666667;6;1;6;1;5;0.833333333333333;294;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
360;3;4;0.75;4;1;4;1;4;1;295;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;6
361;3;3;1;3;1;3;1;3;1;295;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;7
362;1;4;0.25;4;1;4;1;4;1;296;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;7
363;2;3;0.666666666666667;3;1;3;1;2;0.666666666666667;297;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;7
364;0;1;0;1;1;0;0;1;1;298;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;7
365;5;6;0.833333333333333;6;1;6;1;5;0.833333333333333;299;L1119_Na545_H50_B_D5;NA;1;B;D5;interpop;Narbonne_H50;1;7
366;3;4;0.75;4;1;4;1;4;1;300;L1105_Na21_H2_B_D6;NA;1;B;D6;interpop;Narbonne_H2;1;7
367;2;3;0.666666666666667;3;1;3;1;2;0.666666666666667;300;L1105_Na21_H2_B_D6;NA;1;B;D6;interpop;Narbonne_H2;1;7
368;4;5;0.8;5;1;5;1;5;1;301;L1105_Na21_H2_B_D6;NA;1;B;D6;interpop;Narbonne_H2;1;7
369;1;4;0.25;4;1;4;1;3;0.75;302;L1105_Na21_H2_B_D6;NA;1;B;D6;interpop;Narbonne_H2;1;7
370;3;3;1;3;1;3;1;3;1;302;L1105_Na21_H2_B_D6;NA;1;B;D6;interpop;Narbonne_H2;1;7
371;4;4;1;4;1;4;1;4;1;303;L1105_Na21_H2_B_D6;NA;1;B;D6;interpop;Narbonne_H2;1;7
372;2;3;0.666666666666667;3;1;3;1;3;1;303;L1105_Na21_H2_B_D6;NA;1;B;D6;interpop;Narbonne_H2;1;7
373;0;4;0;4;1;1;0.25;0;0;304;L1105_Na21_H2_B_D6;NA;1;B;D6;interpop;Narbonne_H2;1;7
374;2;4;0.5;4;1;3;0.75;3;0.75;304;L1105_Na21_H2_B_D6;NA;1;B;D6;interpop;Narbonne_H2;1;7
375;6;6;1;6;1;6;1;6;1;305;L1105_Na21_H2_B_D6;NA;1;B;D6;interpop;Narbonne_H2;1;7
376;3;4;0.75;4;1;4;1;4;1;306;L1105_Na21_H2_B_D6;NA;1;B;D6;interpop;Narbonne_H2;1;7
377;2;3;0.666666666666667;3;1;3;1;3;1;306;L1105_Na21_H2_B_D6;NA;1;B;D6;interpop;Narbonne_H2;1;7
378;3;3;1;3;1;3;1;3;1;307;L1105_Na21_H2_B_D6;NA;1;B;D6;interpop;Narbonne_H2;1;7
379;2;3;0.666666666666667;3;1;3;1;2;0.666666666666667;308;L1105_Na21_H2_B_D6;NA;1;B;D6;interpop;Narbonne_H2;1;7
