IDBox;Plant;Zone;Zone0;Plan;Quadrat;UniqueQuadrat;PositionQuad;UniqueGeno;IDPod;Block;Plate;PositionPlate;NbSeed;IDSeed;SwellingDate;Swell;RadicleDate;Rad;CotyledonDate;Cot;Viability;SampleDate;Conta;time_flo;L_max_flo;TotalNbPods;NumSeedPlant;Vgonflement;Vradicule;Vcotyledon
6;L1110b_Na326_H5 _3_4_D3;3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;6;1;1;2;4;1;17/05/2016;1;20/05/2016;1;24/05/2016;1;1;30/05/2016;;12;3;5;18;0;3;7
6;L1110b_Na326_H5 _3_4_D3;3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;6;1;1;2;4;2;18/05/2016;1;20/05/2016;1;NA;0;0;NA;;12;3;5;18;1;2;NA
6;L1110b_Na326_H5 _3_4_D3;3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;6;1;1;2;4;3;18/05/2016;1;22/05/2016;1;NA;0;0;NA;;12;3;5;18;1;4;NA
6;L1110b_Na326_H5 _3_4_D3;3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;6;1;1;2;4;4;18/05/2016;1;20/05/2016;1;26/05/2016;1;1;30/05/2016;;12;3;5;18;1;2;8
7;L1125_Na657_H8 _3_4_E1;3;3;Intrapop;4;Z3Q4;E1;Narbonne_H8;9;1;1;1;6;1;17/05/2016;1;20/05/2016;1;22/05/2016;1;1;25/05/2016;;12;4;2;6;0;3;5
7;L1125_Na657_H8 _3_4_E1;3;3;Intrapop;4;Z3Q4;E1;Narbonne_H8;9;1;1;1;6;2;18/05/2016;1;20/05/2016;1;22/05/2016;1;1;25/05/2016;;12;4;2;6;1;2;4
7;L1125_Na657_H8 _3_4_E1;3;3;Intrapop;4;Z3Q4;E1;Narbonne_H8;9;1;1;1;6;3;18/05/2016;1;20/05/2016;1;NA;0;1;25/05/2016;;12;4;2;6;1;2;NA
7;L1125_Na657_H8 _3_4_E1;3;3;Intrapop;4;Z3Q4;E1;Narbonne_H8;9;1;1;1;6;4;17/05/2016;1;22/05/2016;1;25/05/2016;1;1;25/05/2016;24-mai;12;4;2;6;0;5;8
7;L1125_Na657_H8 _3_4_E1;3;3;Intrapop;4;Z3Q4;E1;Narbonne_H8;9;1;1;1;6;5;17/05/2016;1;19/05/2016;1;22/05/2016;1;1;25/05/2016;;12;4;2;6;0;2;5
7;L1125_Na657_H8 _3_4_E1;3;3;Intrapop;4;Z3Q4;E1;Narbonne_H8;9;1;1;1;6;6;17/05/2016;1;20/05/2016;1;22/05/2016;1;1;25/05/2016;;12;4;2;6;0;3;5
8;L1107_Na234_H2 _3_4_E3;3;3;Intrapop;4;Z3Q4;E3;Narbonne_H2;10;1;1;2;5;1;18/05/2016;1;20/05/2016;1;22/05/2016;1;1;26/05/2016;;5.5;3;2;11;1;2;4
8;L1107_Na234_H2 _3_4_E3;3;3;Intrapop;4;Z3Q4;E3;Narbonne_H2;10;1;1;2;5;2;18/05/2016;1;22/05/2016;1;25/05/2016;1;0;26/05/2016;;5.5;3;2;11;1;4;7
8;L1107_Na234_H2 _3_4_E3;3;3;Intrapop;4;Z3Q4;E3;Narbonne_H2;10;1;1;2;5;3;18/05/2016;1;20/05/2016;1;26/05/2016;1;1;26/05/2016;;5.5;3;2;11;1;2;8
8;L1107_Na234_H2 _3_4_E3;3;3;Intrapop;4;Z3Q4;E3;Narbonne_H2;10;1;1;2;5;4;18/05/2016;1;22/05/2016;1;23/05/2016;1;1;26/05/2016;;5.5;3;2;11;1;4;5
8;L1107_Na234_H2 _3_4_E3;3;3;Intrapop;4;Z3Q4;E3;Narbonne_H2;10;1;1;2;5;5;18/05/2016;1;20/05/2016;1;22/05/2016;1;1;26/05/2016;;5.5;3;2;11;1;2;4
9;L1107_Na234_H2 _3_4_E3;3;3;Intrapop;4;Z3Q4;E3;Narbonne_H2;11;1;1;1;6;1;17/05/2016;1;20/05/2016;1;24/05/2016;1;0;26/05/2016;;5.5;3;2;11;0;3;7
9;L1107_Na234_H2 _3_4_E3;3;3;Intrapop;4;Z3Q4;E3;Narbonne_H2;11;1;1;1;6;2;17/05/2016;1;20/05/2016;1;22/05/2016;1;1;26/05/2016;;5.5;3;2;11;0;3;5
9;L1107_Na234_H2 _3_4_E3;3;3;Intrapop;4;Z3Q4;E3;Narbonne_H2;11;1;1;1;6;3;18/05/2016;1;20/05/2016;1;26/05/2016;1;0;26/05/2016;;5.5;3;2;11;1;2;8
9;L1107_Na234_H2 _3_4_E3;3;3;Intrapop;4;Z3Q4;E3;Narbonne_H2;11;1;1;1;6;4;17/05/2016;1;20/05/2016;1;26/05/2016;1;1;26/05/2016;;5.5;3;2;11;0;3;9
9;L1107_Na234_H2 _3_4_E3;3;3;Intrapop;4;Z3Q4;E3;Narbonne_H2;11;1;1;1;6;5;18/05/2016;1;20/05/2016;1;24/05/2016;1;1;26/05/2016;;5.5;3;2;11;1;2;6
9;L1107_Na234_H2 _3_4_E3;3;3;Intrapop;4;Z3Q4;E3;Narbonne_H2;11;1;1;1;6;6;18/05/2016;1;20/05/2016;1;22/05/2016;1;1;26/05/2016;;5.5;3;2;11;1;2;4
10;L1096b_Na156_H4 _3_4_F6;3;3;Intrapop;4;Z3Q4;F6;Narbonne_H4;14;1;1;2;3;1;18/05/2016;1;20/05/2016;1;25/05/2016;1;1;25/05/2016;;15;2.5;1;3;1;2;7
10;L1096b_Na156_H4 _3_4_F6;3;3;Intrapop;4;Z3Q4;F6;Narbonne_H4;14;1;1;2;3;2;18/05/2016;1;20/05/2016;1;25/05/2016;1;1;25/05/2016;;15;2.5;1;3;1;2;7
10;L1096b_Na156_H4 _3_4_F6;3;3;Intrapop;4;Z3Q4;F6;Narbonne_H4;14;1;1;2;3;3;18/05/2016;1;20/05/2016;1;22/05/2016;1;1;25/05/2016;;15;2.5;1;3;1;2;4
11;269_B_H96 _3_12_A4;3;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;15;1;1;1;6;1;17/05/2016;1;20/05/2016;1;24/05/2016;1;1;25/05/2016;;0;5;3;17;0;3;7
11;269_B_H96 _3_12_A4;3;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;15;1;1;1;6;2;18/05/2016;1;20/05/2016;1;25/05/2016;1;1;25/05/2016;;0;5;3;17;1;2;7
11;269_B_H96 _3_12_A4;3;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;15;1;1;1;6;3;17/05/2016;1;20/05/2016;1;23/05/2016;1;1;25/05/2016;;0;5;3;17;0;3;6
11;269_B_H96 _3_12_A4;3;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;15;1;1;1;6;4;18/05/2016;1;20/05/2016;1;24/05/2016;1;1;25/05/2016;;0;5;3;17;1;2;6
11;269_B_H96 _3_12_A4;3;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;15;1;1;1;6;5;18/05/2016;1;20/05/2016;1;24/05/2016;1;1;25/05/2016;;0;5;3;17;1;2;6
11;269_B_H96 _3_12_A4;3;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;15;1;1;1;6;6;18/05/2016;1;20/05/2016;1;NA;0;1;25/05/2016;;0;5;3;17;1;2;NA
12;269_B_H96 _3_12_A4;3;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;16;1;1;2;6;1;18/05/2016;1;20/05/2016;1;25/05/2016;1;1;25/05/2016;;0;5;3;17;1;2;7
12;269_B_H96 _3_12_A4;3;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;16;1;1;2;6;2;18/05/2016;1;20/05/2016;1;22/05/2016;1;1;25/05/2016;;0;5;3;17;1;2;4
12;269_B_H96 _3_12_A4;3;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;16;1;1;2;6;3;18/05/2016;1;20/05/2016;1;22/05/2016;1;0;25/05/2016;;0;5;3;17;1;2;4
12;269_B_H96 _3_12_A4;3;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;16;1;1;2;6;4;17/05/2016;1;20/05/2016;1;24/05/2016;1;1;25/05/2016;;0;5;3;17;0;3;7
12;269_B_H96 _3_12_A4;3;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;16;1;1;2;6;5;17/05/2016;1;20/05/2016;1;25/05/2016;1;1;25/05/2016;;0;5;3;17;0;3;8
12;269_B_H96 _3_12_A4;3;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;16;1;1;2;6;6;18/05/2016;1;20/05/2016;1;22/05/2016;1;1;25/05/2016;;0;5;3;17;1;2;4
13;269_B_H96 _3_12_A4;3;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;17;1;1;1;5;1;18/05/2016;1;20/05/2016;1;22/05/2016;1;1;25/05/2016;;0;5;3;17;1;2;4
13;269_B_H96 _3_12_A4;3;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;17;1;1;1;5;2;19/05/2016;1;20/05/2016;1;NA;0;1;25/05/2016;;0;5;3;17;2;1;NA
13;269_B_H96 _3_12_A4;3;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;17;1;1;1;5;3;17/05/2016;1;20/05/2016;1;22/05/2016;1;1;25/05/2016;;0;5;3;17;0;3;5
13;269_B_H96 _3_12_A4;3;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;17;1;1;1;5;4;18/05/2016;1;20/05/2016;1;22/05/2016;1;1;25/05/2016;;0;5;3;17;1;2;4
13;269_B_H96 _3_12_A4;3;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;17;1;1;1;5;5;18/05/2016;1;20/05/2016;1;22/05/2016;1;1;25/05/2016;;0;5;3;17;1;2;4
14;L1109_Na314_H5 _3_12_B3;3;3;Intrapop;12;Z3Q12;B3;Narbonne_H5;18;1;1;2;4;1;18/05/2016;1;20/05/2016;1;23/05/2016;1;1;26/05/2016;;12;3.5;2;9;1;2;5
14;L1109_Na314_H5 _3_12_B3;3;3;Intrapop;12;Z3Q12;B3;Narbonne_H5;18;1;1;2;4;2;17/05/2016;1;20/05/2016;1;24/05/2016;1;0;NA;24-mai;12;3.5;2;9;0;3;7
14;L1109_Na314_H5 _3_12_B3;3;3;Intrapop;12;Z3Q12;B3;Narbonne_H5;18;1;1;2;4;3;17/05/2016;1;20/05/2016;1;NA;0;0;NA;26-mai;12;3.5;2;9;0;3;NA
14;L1109_Na314_H5 _3_12_B3;3;3;Intrapop;12;Z3Q12;B3;Narbonne_H5;18;1;1;2;4;4;18/05/2016;1;22/05/2016;1;22/05/2016;1;1;26/05/2016;;12;3.5;2;9;1;4;4
15;L1109_Na314_H5 _3_12_B3;3;3;Intrapop;12;Z3Q12;B3;Narbonne_H5;19;1;1;1;5;1;18/05/2016;1;20/05/2016;1;22/05/2016;1;1;26/05/2016;;12;3.5;2;9;1;2;4
15;L1109_Na314_H5 _3_12_B3;3;3;Intrapop;12;Z3Q12;B3;Narbonne_H5;19;1;1;1;5;2;17/05/2016;1;22/05/2016;1;26/05/2016;1;0;26/05/2016;;12;3.5;2;9;0;5;9
15;L1109_Na314_H5 _3_12_B3;3;3;Intrapop;12;Z3Q12;B3;Narbonne_H5;19;1;1;1;5;3;18/05/2016;1;20/05/2016;1;24/05/2016;1;1;26/05/2016;;12;3.5;2;9;1;2;6
15;L1109_Na314_H5 _3_12_B3;3;3;Intrapop;12;Z3Q12;B3;Narbonne_H5;19;1;1;1;5;4;18/05/2016;1;20/05/2016;1;24/05/2016;1;1;26/05/2016;;12;3.5;2;9;1;2;6
15;L1109_Na314_H5 _3_12_B3;3;3;Intrapop;12;Z3Q12;B3;Narbonne_H5;19;1;1;1;5;5;17/05/2016;1;18/05/2016;1;26/05/2016;1;0;26/05/2016;;12;3.5;2;9;0;1;9
16;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;20;1;1;2;7;1;18/05/2016;1;20/05/2016;1;NA;0;1;25/05/2016;;9;5.5;10;41;1;2;NA
16;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;20;1;1;2;7;2;17/05/2016;1;20/05/2016;1;22/05/2016;1;0;25/05/2016;;9;5.5;10;41;0;3;5
16;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;20;1;1;2;7;3;18/05/2016;1;22/05/2016;1;23/05/2016;1;1;25/05/2016;;9;5.5;10;41;1;4;5
16;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;20;1;1;2;7;4;17/05/2016;1;20/05/2016;1;24/05/2016;1;1;25/05/2016;;9;5.5;10;41;0;3;7
17;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;20;1;1;1;7;1;17/05/2016;1;20/05/2016;1;24/05/2016;1;1;25/05/2016;;9;5.5;10;41;0;3;7
17;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;20;1;1;1;7;2;17/05/2016;1;20/05/2016;1;22/05/2016;1;1;25/05/2016;;9;5.5;10;41;0;3;5
17;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;20;1;1;1;7;3;18/05/2016;1;22/05/2016;1;NA;0;0;25/05/2016;;9;5.5;10;41;1;4;NA
18;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;21;1;1;2;7;1;17/05/2016;1;20/05/2016;1;26/05/2016;1;1;26/05/2016;;9;5.5;10;41;0;3;9
18;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;21;1;1;2;7;2;17/05/2016;1;20/05/2016;1;26/05/2016;1;1;26/05/2016;26-mai;9;5.5;10;41;0;3;9
18;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;21;1;1;2;7;3;17/05/2016;1;20/05/2016;1;26/05/2016;1;0;26/05/2016;;9;5.5;10;41;0;3;9
18;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;21;1;1;2;7;4;18/05/2016;1;20/05/2016;1;24/05/2016;1;1;26/05/2016;;9;5.5;10;41;1;2;6
19;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;21;1;1;1;7;1;17/05/2016;1;22/05/2016;1;23/05/2016;1;1;25/05/2016;;9;5.5;10;41;0;5;6
19;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;21;1;1;1;7;2;18/05/2016;1;20/05/2016;1;24/05/2016;1;1;25/05/2016;;9;5.5;10;41;1;2;6
19;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;21;1;1;1;7;3;18/05/2016;1;20/05/2016;1;22/05/2016;1;1;25/05/2016;;9;5.5;10;41;1;2;4
20;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;22;1;1;2;6;1;18/05/2016;1;NA;0;22/05/2016;1;0;26/05/2016;;9;5.5;10;41;1;NA;4
20;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;22;1;1;2;6;2;17/05/2016;1;19/05/2016;1;22/05/2016;1;1;26/05/2016;;9;5.5;10;41;0;2;5
20;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;22;1;1;2;6;3;17/05/2016;1;22/05/2016;1;24/05/2016;1;0;26/05/2016;;9;5.5;10;41;0;5;7
20;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;22;1;1;2;6;4;17/05/2016;1;20/05/2016;1;23/05/2016;1;1;26/05/2016;;9;5.5;10;41;0;3;6
20;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;22;1;1;2;6;5;18/05/2016;1;20/05/2016;1;22/05/2016;1;1;26/05/2016;;9;5.5;10;41;1;2;4
20;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;22;1;1;2;6;6;17/05/2016;1;18/05/2016;1;24/05/2016;1;0;26/05/2016;26-mai;9;5.5;10;41;0;1;7
21;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;23;1;1;1;5;1;18/05/2016;1;22/05/2016;1;26/05/2016;1;1;26/05/2016;;9;5.5;10;41;1;4;8
21;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;23;1;1;1;5;2;17/05/2016;1;NA;0;26/05/2016;1;0;26/05/2016;;9;5.5;10;41;0;NA;9
21;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;23;1;1;1;5;3;18/05/2016;1;22/05/2016;1;26/05/2016;1;1;26/05/2016;;9;5.5;10;41;1;4;8
21;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;23;1;1;1;5;4;17/05/2016;1;22/05/2016;1;24/05/2016;1;1;26/05/2016;;9;5.5;10;41;0;5;7
21;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;23;1;1;1;5;5;17/05/2016;1;NA;0;26/05/2016;1;0;26/05/2016;;9;5.5;10;41;0;NA;9
22;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;24;1;1;2;4;1;19/05/2016;1;20/05/2016;1;25/05/2016;1;1;26/05/2016;;9;5.5;10;41;2;1;6
22;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;24;1;1;2;4;2;19/05/2016;1;20/05/2016;1;24/05/2016;1;1;26/05/2016;;9;5.5;10;41;2;1;5
22;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;24;1;1;2;4;3;17/05/2016;1;22/05/2016;1;NA;0;0;26/05/2016;;9;5.5;10;41;0;5;NA
22;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;24;1;1;2;4;4;17/05/2016;1;22/05/2016;1;NA;0;0;26/05/2016;;9;5.5;10;41;0;5;NA
23;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;25;1;1;1;4;1;17/05/2016;1;20/05/2016;1;22/05/2016;1;1;25/05/2016;;9;5.5;10;41;0;3;5
23;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;25;1;1;1;4;2;17/05/2016;1;20/05/2016;1;23/05/2016;1;1;25/05/2016;;9;5.5;10;41;0;3;6
23;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;25;1;1;1;4;3;18/05/2016;1;20/05/2016;1;23/05/2016;1;1;25/05/2016;;9;5.5;10;41;1;2;5
23;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;25;1;1;1;4;4;19/05/2016;1;20/05/2016;1;25/05/2016;1;1;25/05/2016;;9;5.5;10;41;2;1;6
